0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,0
0,27
0,28
0,24
0,29
0,30
0,3
0,16
0,6
0,16
0,23
0,29
0,0
0,25
0,26
0,31
0,14
0,14
0,25
0,23
0,32
0,5
0,12
0,33
0,13
0,34
0,14
0,35
0,36
0,37
0,38
0,39
0,40
0,14
0,7
0,41
0,14
0,24
0,4
0,4
0,42
0,24
0,43
0,44
0,45
0,30
0,44
0,13
0,46
0,47
0,24
0,13
0,48
0,49
0,50
0,48
0,51
0,13
0,52
0,53
0,16
0,54
0,13
0,46
0,13
0,7
0,55
0,40
0,23
0,56
0,57
0,58
0,38
0,4
0,59
0,60
0,61
0,6
0,8
0,7
0,44
0,62
0,13
0,12
0,24
0,63
0,64
0,26
0,6
0,58
0,7
0,65
0,47
0,66
0,67
0,62
0,68
0,69
0,57
0,70
0,66
0,44
0,71
0,7
0,36
0,72
0,53
0,73
0,74
0,6
0,7
0,13
0,13
0,6
0,55
0,4
0,14
0,75
0,40
0,76
0,77
0,67
0,24
0,78
0,79
0,57
0,14
0,80
0,4
0,81
0,82
0,44
0,14
0,83
0,84
0,56
0,6
0,7
0,7
0,46
0,48
0,23
0,19
0,40
0,7
0,85
0,86
0,7
0,74
0,85
0,6
0,45
0,48
0,24
0,87
0,13
0,88
0,6
0,67
0,47
0,76
0,24
0,36
0,19
0,7
0,29
0,89
0,56
0,44
0,90
0,74
0,91
0,16
0,24
0,16
0,3
0,12
0,47
0,92
0,6
0,93
0,94
0,95
0,49
0,23
0,29
0,7
0,90
0,96
0,70
0,47
0,24
0,75
0,8
0,42
0,14
0,97
0,7
0,44
0,80
0,26
0,67
0,48
0,44
0,29
0,21
0,77
0,0
0,86
0,98
0,29
0,99
0,3
0,7
0,36
0,0
0,16
0,29
0,16
0,56
0,55
0,4
0,44
0,7
0,100
0,47
0,101
0,35
0,14
0,102
0,14
0,103
0,44
0,104
0,38
0,13
0,105
0,106
0,47
0,101
0,14
0,107
0,108
0,67
0,38
0,23
0,66
0,24
0,109
0,66
0,44
0,24
0,36
0,110
0,47
0,14
0,44
0,7
0,111
0,35
0,112
0,113
0,114
0,29
0,48
0,7
0,44
0,95
0,14
0,16
0,115
0,24
0,40
0,55
0,49
0,116
0,12
0,44
0,24
0,117
0,118
0,97
0,12
0,13
0,47
0,25
0,119
0,13
0,81
0,120
0,121
0,122
0,7
0,6
0,14
0,24
0,93
0,120
0,80
0,13
0,14
0,66
0,123
0,7
0,0
0,44
0,45
0,48
0,23
0,124
0,66
0,125
0,16
0,49
0,14
0,55
0,3
0,13
0,36
0,66
0,13
0,126
0,24
0,13
0,127
0,47
0,77
0,4
0,128
0,57
0,129
0,24
0,6
0,47
0,130
0,45
0,77
0,14
0,131
0,104
0,30
0,79
0,44
0,7
0,36
0,24
0,26
0,13
0,23
0,110
0,132
0,133
0,52
0,134
0,135
0,7
0,15
0,77
0,13
0,136
0,40
0,137
0,7
0,13
0,13
0,67
0,24
0,55
0,138
0,29
0,48
0,24
0,7
0,7
0,44
0,71
0,44
0,7
0,137
0,66
0,4
0,16
0,53
0,50
0,0
0,139
0,105
0,26
0,120
0,7
0,17
0,47
0,14
0,110
0,140
0,66
0,7
0,78
0,4
0,141
0,95
0,142
0,16
0,143
0,115
0,44
0,20
0,30
0,29
0,144
0,57
0,66
0,7
0,53
0,6
0,127
0,24
0,24
0,38
0,4
0,145
0,38
0,6
0,13
0,24
0,44
0,14
0,86
0,14
0,32
0,131
0,127
0,48
0,24
0,82
0,67
0,14
0,13
0,47
0,7
0,55
0,118
0,70
0,66
0,48
0,146
0,71
0,36
0,95
0,147
0,3
0,53
0,24
0,44
0,82
0,30
0,109
0,148
0,24
0,149
0,83
0,150
0,14
0,29
0,77
0,151
0,23
0,152
0,153
0,4
0,36
0,77
0,24
0,24
0,7
0,88
0,14
0,16
0,93
0,30
0,50
0,57
0,154
0,92
0,80
0,40
0,66
0,7
0,155
0,137
0,57
0,3
0,57
0,156
0,157
0,14
0,158
0,159
0,6
0,53
0,14
0,105
0,12
0,5
0,47
0,160
0,1
0,161
0,159
0,7
0,146
0,40
0,67
0,162
0,149
0,55
0,163
0,14
0,16
0,46
0,56
0,13
0,44
