0,0
0,0
0,1
0,3
0,0
0,0
0,1
0,4
0,5
0,0
0,3
0,8
0,10
0,5
0,2
0,8
0,5
0,10
0,3
0,0
0,9
0,5
0,11
0,12
0,13
0,5
0,3
0,8
0,9
0,14
0,0
0,10
0,15
0,3
0,1
0,15
0,5
0,16
0,17
0,3
0,5
0,19
0,8
0,2
0,20
0,3
0,2
0,21
0,22
0,15
0,8
0,5
0,0
0,10
0,23
0,10
0,8
0,24
0,5
0,8
0,25
0,2
0,26
0,7
0,1
0,0
0,1
0,9
0,10
0,8
0,27
0,10
0,7
0,3
0,28
0,20
0,1
0,0
0,8
0,4
0,3
0,29
0,30
0,13
0,0
0,31
0,15
0,8
0,9
0,1
0,10
0,5
0,0
0,5
0,33
0,34
0,3
0,10
0,10
0,20
0,35
0,7
0,3
0,26
0,36
0,27
0,37
0,8
0,24
0,5
0,29
0,38
0,8
0,0
0,10
0,7
0,5
0,15
0,8
0,8
0,0
0,15
0,1
0,3
0,3
0,5
0,9
0,0
0,8
0,5
0,40
0,41
0,42
0,26
0,1
0,8
0,13
0,43
0,3
0,44
0,45
0,10
0,46
0,47
0,3
0,8
0,13
0,10
0,5
0,8
0,8
0,5
0,10
0,10
0,10
0,10
0,26
0,3
0,13
0,2
0,37
0,10
0,0
0,49
0,0
0,3
0,8
0,30
0,2
0,3
0,8
0,3
0,29
0,51
0,15
0,15
0,1
0,3
0,29
0,5
0,0
0,0
0,52
0,0
0,29
0,10
0,9
0,53
0,5
0,7
0,55
0,7
0,3
0,7
0,5
0,56
0,5
0,57
0,0
0,58
0,3
0,0
0,10
0,9
0,15
0,24
0,8
0,7
0,0
0,9
0,15
0,10
0,13
0,5
0,4
0,1
0,15
0,10
0,2
0,5
0,50
0,0
0,8
0,3
0,60
0,61
0,9
0,63
0,13
0,8
0,0
0,64
0,8
0,3
0,9
0,10
0,5
0,21
0,9
0,3
0,10
0,65
0,8
0,66
0,0
0,47
0,9
0,9
0,7
0,1
0,13
0,13
0,67
0,7
0,24
0,10
0,68
0,10
0,69
0,3
0,5
0,10
0,2
0,10
0,3
0,26
0,0
0,71
0,21
0,40
0,0
0,27
0,3
0,10
0,0
0,5
0,13
0,72
0,10
0,47
0,73
0,15
0,27
0,1
0,74
0,75
0,76
0,2
0,65
0,10
0,77
0,8
0,5
0,5
0,10
0,8
0,78
0,5
0,5
0,3
0,5
0,79
0,2
0,7
0,8
0,10
0,45
0,10
0,7
0,2
0,10
0,3
0,3
0,3
0,2
0,80
0,81
0,15
0,82
0,0
0,10
0,1
0,8
0,0
0,5
0,13
0,2
0,5
0,3
0,8
0,10
0,37
0,48
0,29
0,0
0,10
0,29
0,3
0,83
